date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:52:28	482673/482673	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jul%202023%2015:43:24%20GMT	http://rrfonline.unlockdesizn.com/alitufan/zeomart/index4.html	C:/Users/TALENT%20BROWN/Desktop/fashionagumultivendor/fashtemp2/rrfonline.unlockdesizn.com/alitufan/zeomart/index4.html	(from )
10:52:28	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Aug%202023%2009:59:06%20GMT	http://rrfonline.unlockdesizn.com/robots.txt		(from )
10:52:29	165204/165204	---M-Z	200	added ('OK')	text/css	date:Mon,%2005%20Dec%202022%2007:10:49%20GMT	http://rrfonline.unlockdesizn.com/alitufan/zeomart/css/bootstrap.min.css	C:/Users/TALENT%20BROWN/Desktop/fashionagumultivendor/fashtemp2/rrfonline.unlockdesizn.com/alitufan/zeomart/css/bootstrap.min.css	(from http://rrfonline.unlockdesizn.com/alitufan/zeomart/index4.html)
10:52:30	5968/5968	---M-Z	200	added ('OK')	text/css	date:Thu,%2005%20Jan%202023%2009:06:10%20GMT	http://rrfonline.unlockdesizn.com/alitufan/zeomart/css/ace-responsive-menu.css	C:/Users/TALENT%20BROWN/Desktop/fashionagumultivendor/fashtemp2/rrfonline.unlockdesizn.com/alitufan/zeomart/css/ace-responsive-menu.css	(from http://rrfonline.unlockdesizn.com/alitufan/zeomart/index4.html)
10:52:31	28707/28707	---M-Z	200	added ('OK')	text/css	date:Thu,%2005%20Jan%202023%2009:04:20%20GMT	http://rrfonline.unlockdesizn.com/alitufan/zeomart/css/menu.css	C:/Users/TALENT%20BROWN/Desktop/fashionagumultivendor/fashtemp2/rrfonline.unlockdesizn.com/alitufan/zeomart/css/menu.css	(from http://rrfonline.unlockdesizn.com/alitufan/zeomart/index4.html)
10:52:35	769852/769852	---M-Z	200	added ('OK')	text/css	date:Thu,%2005%20Jan%202023%2009:07:17%20GMT	http://rrfonline.unlockdesizn.com/alitufan/zeomart/css/fontawesome.css	C:/Users/TALENT%20BROWN/Desktop/fashionagumultivendor/fashtemp2/rrfonline.unlockdesizn.com/alitufan/zeomart/css/fontawesome.css	(from http://rrfonline.unlockdesizn.com/alitufan/zeomart/index4.html)
10:52:35	3871/3871	---M-Z	200	added ('OK')	text/css	date:Thu,%2005%20Jan%202023%2009:09:00%20GMT	http://rrfonline.unlockdesizn.com/alitufan/zeomart/css/flaticon.css	C:/Users/TALENT%20BROWN/Desktop/fashionagumultivendor/fashtemp2/rrfonline.unlockdesizn.com/alitufan/zeomart/css/flaticon.css	(from http://rrfonline.unlockdesizn.com/alitufan/zeomart/index4.html)
10:52:35	11583/11583	---M-Z	200	added ('OK')	text/css	date:Thu,%2005%20Jan%202023%2009:09:40%20GMT	http://rrfonline.unlockdesizn.com/alitufan/zeomart/css/bootstrap-select.min.css	C:/Users/TALENT%20BROWN/Desktop/fashionagumultivendor/fashtemp2/rrfonline.unlockdesizn.com/alitufan/zeomart/css/bootstrap-select.min.css	(from http://rrfonline.unlockdesizn.com/alitufan/zeomart/index4.html)
10:52:36	56693/56693	---M-Z	200	added ('OK')	text/css	date:Thu,%2005%20Jan%202023%2009:10:21%20GMT	http://rrfonline.unlockdesizn.com/alitufan/zeomart/css/animate.css	C:/Users/TALENT%20BROWN/Desktop/fashionagumultivendor/fashtemp2/rrfonline.unlockdesizn.com/alitufan/zeomart/css/animate.css	(from http://rrfonline.unlockdesizn.com/alitufan/zeomart/index4.html)
10:52:37	23845/23845	---M-Z	200	added ('OK')	text/css	date:Thu,%2005%20Jan%202023%2009:11:09%20GMT	http://rrfonline.unlockdesizn.com/alitufan/zeomart/css/slider.css	C:/Users/TALENT%20BROWN/Desktop/fashionagumultivendor/fashtemp2/rrfonline.unlockdesizn.com/alitufan/zeomart/css/slider.css	(from http://rrfonline.unlockdesizn.com/alitufan/zeomart/index4.html)
10:52:39	292196/292196	---M-Z	200	added ('OK')	text/css	date:Sun,%2030%20Apr%202023%2013:20:05%20GMT	http://rrfonline.unlockdesizn.com/alitufan/zeomart/css/style.css	C:/Users/TALENT%20BROWN/Desktop/fashionagumultivendor/fashtemp2/rrfonline.unlockdesizn.com/alitufan/zeomart/css/style.css	(from http://rrfonline.unlockdesizn.com/alitufan/zeomart/index4.html)
10:52:40	35711/35711	---M-Z	200	added ('OK')	text/css	date:Thu,%2005%20Jan%202023%2009:12:05%20GMT	http://rrfonline.unlockdesizn.com/alitufan/zeomart/css/responsive.css	C:/Users/TALENT%20BROWN/Desktop/fashionagumultivendor/fashtemp2/rrfonline.unlockdesizn.com/alitufan/zeomart/css/responsive.css	(from http://rrfonline.unlockdesizn.com/alitufan/zeomart/index4.html)
10:52:41	449/449	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Dec%202022%2013:16:04%20GMT	http://rrfonline.unlockdesizn.com/alitufan/zeomart/images/apple-touch-icon-60x60.png	C:/Users/TALENT%20BROWN/Desktop/fashionagumultivendor/fashtemp2/rrfonline.unlockdesizn.com/alitufan/zeomart/images/apple-touch-icon-60x60.png	(from http://rrfonline.unlockdesizn.com/alitufan/zeomart/index4.html)
10:52:42	538/538	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Dec%202022%2010:56:38%20GMT	http://rrfonline.unlockdesizn.com/alitufan/zeomart/images/apple-touch-icon-72x72.png	C:/Users/TALENT%20BROWN/Desktop/fashionagumultivendor/fashtemp2/rrfonline.unlockdesizn.com/alitufan/zeomart/images/apple-touch-icon-72x72.png	(from http://rrfonline.unlockdesizn.com/alitufan/zeomart/index4.html)
10:52:42	761/761	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Dec%202022%2013:16:01%20GMT	http://rrfonline.unlockdesizn.com/alitufan/zeomart/images/apple-touch-icon-114x114.png	C:/Users/TALENT%20BROWN/Desktop/fashionagumultivendor/fashtemp2/rrfonline.unlockdesizn.com/alitufan/zeomart/images/apple-touch-icon-114x114.png	(from http://rrfonline.unlockdesizn.com/alitufan/zeomart/index4.html)
10:52:43	1615/1615	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Dec%202022%2013:15:58%20GMT	http://rrfonline.unlockdesizn.com/alitufan/zeomart/images/apple-touch-icon-180x180.png	C:/Users/TALENT%20BROWN/Desktop/fashionagumultivendor/fashtemp2/rrfonline.unlockdesizn.com/alitufan/zeomart/images/apple-touch-icon-180x180.png	(from http://rrfonline.unlockdesizn.com/alitufan/zeomart/index4.html)
10:52:43	1713/1713	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Dec%202022%2013:12:18%20GMT	http://rrfonline.unlockdesizn.com/alitufan/zeomart/images/listing/sf1.png	C:/Users/TALENT%20BROWN/Desktop/fashionagumultivendor/fashtemp2/rrfonline.unlockdesizn.com/alitufan/zeomart/images/listing/sf1.png	(from http://rrfonline.unlockdesizn.com/alitufan/zeomart/index4.html)
10:52:44	1345/1345	---M--	200	added ('OK')	image/png	date:Sat,%2024%20Dec%202022%2010:41:09%20GMT	http://rrfonline.unlockdesizn.com/alitufan/zeomart/images/listing/sf2.png	C:/Users/TALENT%20BROWN/Desktop/fashionagumultivendor/fashtemp2/rrfonline.unlockdesizn.com/alitufan/zeomart/images/listing/sf2.png	(from http://rrfonline.unlockdesizn.com/alitufan/zeomart/index4.html)
10:52:45	2491/2491	---M--	200	added ('OK')	image/png	date:Sat,%2024%20Dec%202022%2010:40:43%20GMT	http://rrfonline.unlockdesizn.com/alitufan/zeomart/images/listing/sf3.png	C:/Users/TALENT%20BROWN/Desktop/fashionagumultivendor/fashtemp2/rrfonline.unlockdesizn.com/alitufan/zeomart/images/listing/sf3.png	(from http://rrfonline.unlockdesizn.com/alitufan/zeomart/index4.html)
10:52:45	1321/1321	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Dec%202022%2013:12:14%20GMT	http://rrfonline.unlockdesizn.com/alitufan/zeomart/images/listing/sf4.png	C:/Users/TALENT%20BROWN/Desktop/fashionagumultivendor/fashtemp2/rrfonline.unlockdesizn.com/alitufan/zeomart/images/listing/sf4.png	(from http://rrfonline.unlockdesizn.com/alitufan/zeomart/index4.html)
10:52:46	1190/1190	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Dec%202022%2013:12:11%20GMT	http://rrfonline.unlockdesizn.com/alitufan/zeomart/images/listing/sf5.png	C:/Users/TALENT%20BROWN/Desktop/fashionagumultivendor/fashtemp2/rrfonline.unlockdesizn.com/alitufan/zeomart/images/listing/sf5.png	(from http://rrfonline.unlockdesizn.com/alitufan/zeomart/index4.html)
10:52:46	95243/95243	---M-Z	200	added ('OK')	text/html	date:Tue,%2007%20Feb%202023%2013:57:06%20GMT	http://rrfonline.unlockdesizn.com/alitufan/zeomart/page-help.html	C:/Users/TALENT%20BROWN/Desktop/fashionagumultivendor/fashtemp2/rrfonline.unlockdesizn.com/alitufan/zeomart/page-help.html	(from http://rrfonline.unlockdesizn.com/alitufan/zeomart/index4.html)
10:52:47	96396/96396	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:07:20%20GMT	http://rrfonline.unlockdesizn.com/alitufan/zeomart/page-account-wishlist.html	C:/Users/TALENT%20BROWN/Desktop/fashionagumultivendor/fashtemp2/rrfonline.unlockdesizn.com/alitufan/zeomart/page-account-wishlist.html	(from http://rrfonline.unlockdesizn.com/alitufan/zeomart/index4.html)
10:52:47	1570/1570	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2002%20Aug%202022%2004:13:57%20GMT	http://rrfonline.unlockdesizn.com/alitufan/zeomart/images/icons/flaticon-shopping-cart.svg	C:/Users/TALENT%20BROWN/Desktop/fashionagumultivendor/fashtemp2/rrfonline.unlockdesizn.com/alitufan/zeomart/images/icons/flaticon-shopping-cart.svg	(from http://rrfonline.unlockdesizn.com/alitufan/zeomart/index4.html)
10:52:48	257/257	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2022%20Oct%202022%2015:57:28%20GMT	http://rrfonline.unlockdesizn.com/alitufan/zeomart/images/desktop-nav-menu-dark.svg	C:/Users/TALENT%20BROWN/Desktop/fashionagumultivendor/fashtemp2/rrfonline.unlockdesizn.com/alitufan/zeomart/images/desktop-nav-menu-dark.svg	(from http://rrfonline.unlockdesizn.com/alitufan/zeomart/index4.html)
10:52:48	172603/172603	---M--	200	added ('OK')	image/x-icon	date:Fri,%2022%20Jul%202022%2004:40:39%20GMT	http://rrfonline.unlockdesizn.com/alitufan/zeomart/images/favicon.ico	C:/Users/TALENT%20BROWN/Desktop/fashionagumultivendor/fashtemp2/rrfonline.unlockdesizn.com/alitufan/zeomart/images/favicon.ico	(from http://rrfonline.unlockdesizn.com/alitufan/zeomart/index4.html)
10:52:49	187817/187817	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Jul%202023%2015:35:46%20GMT	http://rrfonline.unlockdesizn.com/alitufan/zeomart/index1.html	C:/Users/TALENT%20BROWN/Desktop/fashionagumultivendor/fashtemp2/rrfonline.unlockdesizn.com/alitufan/zeomart/index1.html	(from http://rrfonline.unlockdesizn.com/alitufan/zeomart/index4.html)
